Name,Address,Phone,Website
Lavie Garden,"ठेगाना: Ramhiti बौद्ध सडक, काठमाडौँ 44600",फोन: 980-8996175,https://garden.laviehospitality.com.np/
Utpala Cafe,"ठेगाना: P9F6+HVF, Utpala way, काठमाडौँ 44600",फोन: 981-0700763,https://cafeutpala.com/
Graveaty Restaurant and Bar,"ठेगाना: छुस्या गल्ली, काठमाडौँ 44600",फोन: 01-5913958,N/A
The Urvin's Garden Restaurant,"ठेगाना: Cnr sardha marg and, Bishal Nagar Marg, काठमाडौँ 44600",फोन: 984-5228569,https://theurvins.wixsite.com/the-urvins
Nepalaya Rooftop Restaurant,"ठेगाना: Inside Hotel Nepalaya, Thamel, Kwabahal-17, काठमाडौँ 44600",फोन: 01-5901321,http://www.hotelnepalaya.com/restaurant
Yala Cafe & Coffee Shop,"ठेगाना: Kwabahal, ठमेल मार्ग, काठमाडौँ 44600",फोन: 01-5367554,https://yalacafe.com/
Sichuan Restaurant,"ठेगाना: Amitabh boudhamarg, काठमाडौँ 44600",फोन: 980-3358684,https://www.facebook.com/Sichuancafe
Kathmandu Grill Restaurant & Wine Bar,"ठेगाना: चाक्सीवारी मार्ग, काठमाडौँ 44600",फोन: 982-8425333,https://www.kathmandugrill.com/
Apricus Garden Restaurant,"ठेगाना: P88M+F2Q, काठमाडौँ 44600",फोन: 976-1888741,http://www.apricuscafe.com/
Carpe Diem Lounge & Bakery | Top Restaurant in Kathmandu,"ठेगाना: Paknajol-16, Kaldhara Peepalbot, Thamel, Kathamandu 00977",फोन: 01-4989042,N/A
MTR Nepal - Vegetarian Breakfast,"ठेगाना: Kamaladi Rd, काठमाडौँ 44600",फोन: 980-2356867,https://www.lesherpaconcept.com/brands/mtr-kathmandu/
Temple Town Rooftop Restaurant & Bar,"ठेगाना: Kaldhara, काठमाडौँ 44600",फोन: 970-2423180,http://www.templetownnepal.com/
Kathmandu Rooftop Restaurant and Bar,"ठेगाना: Kaldhara Marg, काठमाडौँ 44600",फोन: 982-0111770,N/A
French Creperie,"ठेगाना: Chibahal Marg Thamel, Kathmandu, Lakeside Khahare Chowk-6 North, Pokhara 44600",फोन: 984-3339062,https://www.petitfute.com/v57028-katmandou/c1165-restaurants/c4-cuisine-francaise/1857761-french-creperie.html
Rest Up Rooftop Restaurant,"ठेगाना: Paknajol, काठमाडौँ 44600",फोन: 01-5351693,N/A
रोडहाउस कॅफे,"ठेगाना: Stupa, काठमाडौँ 44600",फोन: 01-4916446,https://www.instagram.com/roadhousecafenepal/?hl=en
